"ticker","status","market_cap","breakout_flag","image_path","expired_date","asset_type","candle_size","company_name"
"GLT","SUCCESS","0.06131820881751825",3,"GLT_1d_max_resistance_bullish_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Glatfelter Corp"
"KZR","SUCCESS","0.060424000988095236",2,"KZR_1d_min_support_bearish_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Kezar Life Sciences Inc"
"VLD","SUCCESS","0.05538151128975883",1,"VLD_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Velo3D Inc"
"IAUF","SUCCESS","0.048894632",1,"IAUF_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","iShares Gold Strategy ETF"
"XOS","SUCCESS","0.04741103657142857",1,"XOS_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Xos Inc"
"RENT","SUCCESS","0.04725868799999999",1,"RENT_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Rent the Runway Inc"
"BHIL","SUCCESS","0.03500767789473684",1,"BHIL_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Benson Hill Inc"
"CENN","SUCCESS","0.03288049926923078",2,"CENN_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Cenntro Electric Group Ltd"
"SOND","SUCCESS","0.02821508223735409",1,"SOND_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Sonder Holdings Inc"
"RENW","SUCCESS","0.021468628",1,"RENW_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","Harbor Energy Transition Strategy ETF"
"NSTG","SUCCESS","0.02117205359942979",1,"NSTG_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","NanoString Technologies Inc"
"KEUA","SUCCESS","0.01869284",1,"KEUA_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","KraneShares European Carbon Allowance Strategy ETF"
"TAGS","SUCCESS","0.018409124",1,"TAGS_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","Teucrium Agricultural Fund"
"CISO","SUCCESS","0.0180176487854251",2,"CISO_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","CISO Global Inc"
"UNL","SUCCESS","0.016295007",1,"UNL_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","United States 12 Month Natural Gas Fund, LP"
"EVMT","SUCCESS","0.009284307",1,"EVMT_1d_avg_resistance_bullish.png","2024-02-22","ETF","1d","Invesco Electric Vehicle Metals Commodity Strategy No K-1 ETF"
"AMPD","SUCCESS","0.004521522",1,"AMPD_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","CNIC ICE U.S. Carbon Neutral Power Futures Index ETF"
"GLDX","SUCCESS","0.00316942",1,"GLDX_1d_min_support_bearish.png","2024-02-22","ETF","1d","USCF Gold Strategy Plus Income Fund"
"TILL","SUCCESS","0.002777412",1,"TILL_1d_latest_min_support_bearish.png","2024-02-22","ETF","1d","Teucrium Agricultural Strategy No K-1 ETF"
"BWET","SUCCESS","0.002007098",2,"BWET_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","ETF","1d","Breakwave Tanker Shipping ETF"
